"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"276","ARL15",10.0788822088779,2.05492794548001,18.7942645664299,2.96726946295456e-05,0.0213643401332729,0.390243902439024,0.466666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"277","MED13L",10.7742696459309,1.42963164449886,18.6337786214166,3.19582520032434e-05,0.0223126704895372,0.597560975609756,0.666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"278","CTNND2",9.88291462069167,2.21345297637832,18.5579649915427,3.30000759670113e-05,0.0223624044199983,0.365853658536585,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"279","PDE4D",10.4720956639674,1.63488784578068,18.3365708741551,3.66065542458033e-05,0.0240975717092374,0.402439024390244,0.666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"280","TANC2",10.3502054648651,1.70319452589154,18.1607062380601,3.96720652878443e-05,0.0253901217842203,0.524390243902439,0.533333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"281","DOCK1",9.04186721864586,3.9103328429118,17.8869916568347,4.45652664263111e-05,0.0275875180761991,0.25,0.0666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"282","CACNA1C",9.80795133941658,2.34412029413517,17.8543383153902,4.55002468270644e-05,0.0275875180761991,0.414634146341463,0.2,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"283","TCF12",10.3393647898012,1.68639353336692,17.4000197889199,5.62808464461382e-05,0.0332489923620263,0.475609756097561,0.533333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"284","SKAP2",9.1480970277419,-2.06995297093361,17.1237497392113,6.39439085471205e-05,0.0368316913231414,0.0975609756097561,0.266666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"285","HS6ST3",7.0288379515494,-5.03568260974564,16.9495760418108,6.96288419923106e-05,0.038532654397558,0,0.266666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"286","PARD3",10.45228048579,1.63549556755472,16.9209991916458,7.02418179122151e-05,0.038532654397558,0.481707317073171,0.4,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"287","AC133555.6",9.90975739292898,2.00291456796772,16.4655636014859,8.66815149514766e-05,0.0464451652205121,0.548780487804878,0.466666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"288","LCLAT1",8.5647993191737,6.13096268280823,16.330525219957,9.31803846823798e-05,0.0487926377973189,0.195121951219512,0,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
